claim_id	text	status	source_id	units	denominator	snapshot_date	allowed_wording	forbidden_wording	uncertainty_or_missingness	owner	verification_status
EF-001	EvoForecast is a synthetic digital wind tunnel for testing experimental-design informativeness before scale-up.	synthetic	PROMPT	concept	not applicable	2026-07-20	synthetic design instrument	validated biological forecasting system	No real laboratory outcomes are present.	EvoForecast computational evidence owner	computationally verified from hash-bound source
EF-002	The latest blind package completed 5,600/5,600 SLiM trajectories with 0 failures.	synthetic	BLIND_V5_RUN	trajectories	5600	2026-07-20	completed synthetic SLiM trajectories	successful Daphnia experiments	Execution success is software evidence, not forecast skill.	EvoForecast computational evidence owner	computationally verified from hash-bound source
EF-003	In blind v5, 0/60 prospective cells met the indicative ≥50% joint gate.	indicative	BLIND_V5_PHASE	registered cells	60	2026-07-20	prospective blind-v5 synthetic cells	evolution was not forecastable	The definition is scenario- and threshold-specific.	EvoForecast computational evidence owner	computationally verified from hash-bound source
EF-004	Across blind-v5 phase cells, 1/80 met the indicative gate and 0/80 met the robust gate.	indicative	BLIND_V5_PHASE	registered cells	80	2026-07-20	blind-v5 synthetic joint-gate results	biological validation	The sole indicative cell is a day-90 nowcast, not prospective evidence.	EvoForecast computational evidence owner	computationally verified from hash-bound source
EF-005	Blind v3 had 5/80 indicative cells and 0/80 robust cells.	indicative	BLIND_V3_PHASE	registered cells	80	2026-07-20	blind-v3 synthetic joint-gate results	validated evolutionary forecasts	Blind-v3 and blind-v5 are different synthetic challenge packages.	EvoForecast computational evidence owner	computationally verified from hash-bound source
EF-006	No blind-v5 policy was classified robustly Pareto optimal: 0/120.	indicative	BLIND_V5_FRONTIER	policy cells	120	2026-07-20	no robustly Pareto-optimal synthetic policy	no experiment can work	Some policies are conditional/fragile; none satisfy the robust classification.	EvoForecast computational evidence owner	computationally verified from hash-bound source
EF-007	The blind-v5 GP1 summary reports a 47.5% mean CRPS gain versus P1 with 80% nominal-90% coverage.	indicative	BLIND_V5_LADDER	percent	35 nuisance contexts	2026-07-20	synthetic aggregate model comparison	genomes predict Daphnia evolution	Aggregate gain coexists with no prospective phase cell meeting the indicative gate.	EvoForecast computational evidence owner	computationally verified from hash-bound source
EF-008	R1 adds 0.0% mean CRPS gain beyond GP1 in blind v5.	indicative	BLIND_V5_LADDER	percent	35 nuisance contexts	2026-07-20	no detectable incremental synthetic gain	feedback never matters	This is specific to the synthetic challenge and registered comparator.	EvoForecast computational evidence owner	computationally verified from hash-bound source
EF-009	The corrected favorable control shows a 17.0% genome-versus-pedigree CRPS gain.	synthetic	POSITIVE_CONTROL	percent	16 seed blocks	2026-07-20	favorable marker-encoded software control	DNA adds 17% biological forecast value	Favourable marker-encoded synthetic software control only; not DNA value in biology.	EvoForecast computational evidence owner	computationally verified from hash-bound source
EF-010	The matched adverse control shows a -9.2% genome-versus-pedigree CRPS gain.	synthetic	ADVERSE_CONTROL	percent	16 seed blocks	2026-07-20	adverse marker-encoded software control	genomic data are harmful in biology	A negative control demonstrates that the workflow can expose failure.	EvoForecast computational evidence owner	computationally verified from hash-bound source
EF-011	The earlier RC01 synthetic POC verified 3,076 immutable jobs.	synthetic	RC01_SUMMARY	jobs	3076	2026-07-20	earlier RC01 software-verification jobs	empirical experiments	Execution count is software evidence; biological validation remains blocked.	EvoForecast computational evidence owner	computationally verified from hash-bound source
EF-012	The proposed GT01 theoretical cutaway uses diploid, ten-chromosome, sexual recombination and standing variation.	proposed	GT01_PRD	chromosomes	10	2026-07-20	proposed post-RC01 theoretical design	implemented or calibrated Daphnia genome model	GT01 is gated and does not alter the frozen clonal RC01 production model.	EvoForecast computational evidence owner	computationally verified from hash-bound source
EF-013	SLiM 5.2 is the registered biological trajectory engine for this round; Python orchestrates, exports, and scores.	synthetic	GT01_PRD	engine boundary	not applicable	2026-07-20	registered software boundary for this round	Python simulates the biological reference world	This site performs lookup only and contains no simulator.	EvoForecast computational evidence owner	computationally verified from hash-bound source
EF-014	An illustrative large-programme budget on the order of tens of millions of US dollars, used as external context only, not a committed budget or an engine recommendation.	external	WIND_TUNNEL_BRIEF	programme scale	external context only	2026-07-20	illustrative external context	a committed or endorsed programme budget	No authoritative budget source is embedded in this bundle.	EvoForecast computational evidence owner	computationally verified from hash-bound source
EF-015	Empirical qualification has not been achieved.	blocked	GT01_PRD	maturity state	not applicable	2026-07-20	empirical qualification is blocked	validated, qualified, or operational	Requires controlled material, accepted evidence, real assays, custody, independent prospective reveal, and external reproduction.	EvoForecast computational evidence owner	computationally verified from hash-bound source
EF-016	V3–V5 describe software and challenge-design maturation, not biological generations.	synthetic	PROMPT	chronology	software snapshots	2026-07-20	software/challenge chronology	biological evolutionary sequence	Cohorts differ in registered synthetic design and scoring treatment.	EvoForecast computational evidence owner	computationally verified from hash-bound source
EF-017	The earlier RC01 synthetic POC verified 12,304 run-horizon endpoint records.	synthetic	RC01_ENDPOINTS	endpoint records	12,304	2026-07-20	earlier RC01 run-horizon endpoint records	empirical measurements	Records are synthetic endpoints at four registered horizons.	EvoForecast computational evidence owner	computationally verified from hash-bound source
